PROJECT NUMBER,BUILDING ID,PROJECT DESCRIPTION,SCHOOL NAME,SCHOOL ADDRESS,SED APPROVED ESTIMATE,DATE APPLICATION SUBMITTED TO SED,BOROUGH,POSTCODE,LATITUDE,LONGITUDE,COMMUNITY BOARD,COUNCIL DISTRICT,CENSUS TRACT,BIN,BBL,NTA
115N,M072,Asbestos  abatement,P.S. 72 - MANHATTAN,131 EAST 104 STREET,33393,05/17/2018,MANHATTAN,10029,40.791179,-73.947776,11,8,166,1081340,1016320011,East Harlem South                                                          
11JQ,X445,Asbestos  abatement,BRONX HS OF SCIENCE - X,75 W 205 STREET,94171,05/17/2018,BRONX    ,10468,40.87759,-73.89104,7,11,409,2094706,2032510201,Van Cortlandt Village                                                      
13NF,R052,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 52 - STATEN ISLAND,450 BUEL AVENUE,75000,06/01/2018,STATEN IS,10305,40.582744,-74.088509,2,50,11201,5053746,5037050001,Old Town-Dongan Hills-South Beach                                          
12AK,Q230,GYMNASIUM UPGRADE,I.S. 230 - QUEENS,73-10 34TH AVENUE,140899,05/30/2018,QUEENS   ,11372,40.752866,-73.893193,3,25,289,4028931,4012600001,Jackson Heights                                                            
133J,K022,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 705 - BROOKLYN,443 ST MARKS AVENUE,200000,06/01/2018,BROOKLYN ,11238,40.676774,-73.960058,8,35,305,3028281,3011480050,Crown Heights North                                                        
116Q,K217,Asbestos  abatement,P.S. 217 - BROOKLYN,1100 NEWKIRK AVENUE,29976,05/17/2018,BROOKLYN ,11230,40.63398,-73.966558,14,40,526,3121072,3052320001,Flatbush                                                                   
13FT,K091,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 91 - BROOKLYN,532 ALBANY AVENUE,200000,06/01/2018,BROOKLYN ,11203,40.661886,-73.93994,9,41,806,3106599,3047940026,Prospect Lefferts Gardens-Wingate                                          
133G,K316,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 316 - BROOKLYN,750 CLASSON AVENUE,150000,06/01/2018,BROOKLYN ,11238,40.674406,-73.960254,8,35,215,3029246,3011670018,Prospect Heights                                                           
12ZW,Q891,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,R. F. WAGNER SEC SCL ARTS & TE,47-07 30TH PLACE,35000,06/01/2018,QUEENS   ,11101,40.742839,-73.936782,2,26,199,4003540,4002820001,Hunters Point-Sunnyside-West Maspeth                                       
114U,K150,Asbestos  abatement,P.S. 150 - BROOKLYN,364 SACKMAN STREET,18290,05/17/2018,BROOKLYN ,11212,40.66896,-73.904726,16,41,908,3084012,3037440009,Brownsville                                                                
12XZ,Q465,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,ACAD. OF MEDICAL TECHNOLOGY -,8-21 BAY 25 STREET,35000,06/01/2018,QUEENS   ,11691,40.60201,-73.762795,14,31,100802,4300730,4157360001,Far Rockaway-Bayswater                                                     
11BV,M072,Asbestos  abatement,P.S. 72 - MANHATTAN,131 EAST 104 STREET,136599,05/17/2018,MANHATTAN,10029,40.791179,-73.947776,11,8,166,1081340,1016320011,East Harlem South                                                          
1178,M057,Asbestos  abatement,P.S. 57 - MANHATTAN,176 EAST 115 STREET,98575,05/17/2018,MANHATTAN,10029,40.797577,-73.94128,11,8,182,1083184,1016400139,East Harlem North                                                          
11PQ,Q054,Asbestos  abatement,P.S. 54 - QUEENS,86-02 127 STREET,20409,05/17/2018,QUEENS   ,11418,40.70292,-73.824221,9,29,14201,4193916,4092800001,Richmond Hill                                                              
13EN,K131,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 131 - BROOKLYN,4305 FT HAMILTON PKWY,35000,06/01/2018,BROOKLYN ,11219,40.641157,-73.993482,12,39,224,3136085,3056030001,Borough Park                                                               
12D5,R880,LIBRARY RECONSTRUCTION AND UPGRADE,P.S. 80 - STATEN ISLAND,715 OCEAN TERRACE,500000,05/30/2018,STATEN IS,10301,40.608517,-74.102078,2,50,177,5113169,5006830001,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
13QL,M134,PBX ELECTRONICS INSTALLATION,P.S. 134 - MANHATTAN,293 EAST BROADWAY,244033,06/02/2018,MANHATTAN,10002,40.71457,-73.983724,3,1,202,1003736,1002880015,Lower East Side                                                            
10ZA,M165,Asbestos  abatement,P.S. 165 - MANHATTAN,234 WEST 109 STREET,12047,05/17/2018,MANHATTAN,10025,40.802917,-73.965613,7,7,195,1056676,1018800013,Morningside Heights                                                        
118K,R455,Asbestos  abatement,TOTTENVILLE HS - STATEN ISLAND,100 LUTEN AVENUE,36578,05/17/2018,STATEN IS,10312,40.528092,-74.192032,3,51,198,5082634,5066130001,Annadale-Huguenot-Prince's Bay-Eltingville                                 
12XM,M118,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,LAFAYETTE ACADEMY - MANHATTAN,154 WEST 93 STREET,99250,06/01/2018,MANHATTAN,10025,40.791728,-73.970845,7,6,177,1032522,1012230005,Upper West Side                                                            
12QP,R034,WASTE SYSTEM,I.S. 34 - STATEN ISLAND,528 ACADEMY AVE,162754,06/04/2018,STATEN IS,10307,40.508284,-74.243428,3,51,24401,5088090,5078940001,Charleston-Richmond Valley-Tottenville                                     
13LL,M155,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,I.S. 377 - MANHATTAN,319 EAST 117 STREET,82000,06/01/2018,MANHATTAN,10035,40.797302,-73.936365,11,8,188,1052986,1016890005,East Harlem North                                                          
12BX,Q049,INDOOR BUILDING IMPROVEMENT - RECONSTRUCTION OF TOILETS,P.S. 49 - QUEENS,63-60 80TH STREET,222021,05/30/2018,QUEENS   ,11379,40.719867,-73.875093,5,30,663,4069253,4029900045,Middle Village                                                             
10NV,K031,Asbestos  abatement,P.S. 31 - BROOKLYN,75 MESEROLE AVENUE,16625,05/17/2018,BROOKLYN ,11222,40.726587,-73.95427,1,33,561,3065299,3025950001,Greenpoint                                                                 
12YI,Q026,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 26 - QUEENS,195-02 69 AVENUE,35000,06/01/2018,QUEENS   ,11365,40.736922,-73.77799,8,23,1347,4153296,4071170421,Fresh Meadows-Utopia                                                       
1123,R002,Asbestos  abatement,I.S. 2 - STATEN ISLAND,333 MIDLAND AVENUE,78796,05/17/2018,STATEN IS,10306,40.576725,-74.100726,2,50,11202,5053571,5036960100,New Dorp-Midland Beach                                                     
111O,M042,Asbestos  abatement,P.S. 42 - MANHATTAN,71 HESTER STREET,19804,05/17/2018,MANHATTAN,10002,40.715905,-73.990895,3,1,16,1003998,1003090001,Chinatown                                                                  
12M0,Q087,INDOOR BUILDING IMPROVEMENT - RECONSTRUCTION OF TOILETS,P.S. 87 - QUEENS,67-54 80 STREET,245951,06/04/2018,QUEENS   ,11379,40.711815,-73.871238,5,30,621,4091737,4037820027,Middle Village                                                             
130X,X160,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,THE EQUALITY CHARTER SCHOOL -,4140 HUTCHINSON RIVER PARKWAY,35000,06/01/2018,BRONX    ,10475,40.864676,-73.824303,10,12,302,2072352,2051350200,Co-op City                                                                 
148D,K232,Building Envelope Improvement - Parapet Reconstruction,EAST FLATBUSH COMMUNITY RESCH,905 WINTHROP STREET,588108,06/27/2018,BROOKLYN ,11203,40.65843,-73.929076,17,41,880,3099733,3046060025,Prospect Lefferts Gardens-Wingate                                          
10XI,K309,Asbestos  abatement,P.S. 309 - BROOKLYN,794 MONROE STREET,15080,05/17/2018,BROOKLYN ,11221,40.688419,-73.924833,3,41,385,3045047,3016430036,Stuyvesant Heights                                                         
12HL,K346,BUILDING SYSTEM IMPROVEMENT - HEATING PLANT UPGRADE,P.S. 346 - BROOKLYN,1400 PENNSYLVANIA AVENUE,75200,06/04/2018,BROOKLYN ,11239,40.64726,-73.881114,5,42,105804,3098294,3044520025,Starrett City                                                              
1142,X055,Asbestos  abatement,P.S. 55 - BRONX,450 ST PAULS PLACE,125445,05/17/2018,BRONX    ,10456,40.836404,-73.905014,3,16,14702,2009463,2029020001,Claremont-Bathgate                                                         
129P,K068,CAFETARIA/MULTI PURPOSE,I.S. 68 - BROOKLYN,956 EAST 82 STREET,109680,05/30/2018,BROOKLYN ,11236,40.635553,-73.91079,18,46,956,3224947,3080180001,Canarsie                                                                   
13Y7,K252,Building Envelope Improvement - Parapet Reconstruction,MIDDLE SCHOOL FOR ART & PHILOS,1084 LENOX ROAD,4999482,06/20/2018,BROOKLYN ,11212,40.658295,-73.920109,17,41,886,3101840,3046690037,Rugby-Remsen Village                                                       
1337,K041,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 41 - BROOKLYN,411 THATFORD AVENUE,100000,06/01/2018,BROOKLYN ,11212,40.660306,-73.907355,16,42,918,3082389,3036040001,Brownsville                                                                
132C,K270,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,COMMUNITY PARTNERSHIP CHARTER,241 EMERSON PLACE,100000,06/01/2018,BROOKLYN ,11205,40.690202,-73.961478,2,35,193,3055378,3019330102,Clinton Hill                                                               
143H,Q460,Building Envelope Improvement - Parapet Reconstruction,FLUSHING HS - QUEENS,35-01 UNION STREET,6930258,06/20/2018,QUEENS   ,11354,40.765166,-73.82789,7,20,1161,4113172,4050020001,Flushing                                                                   
13OX,Q098,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 98 - QUEENS,40-20 235 STREET,50000,06/01/2018,QUEENS   ,11363,40.769271,-73.749369,11,19,1483,4168629,4080820285,Douglas Manor-Douglaston-Little Neck                                       
12FN,M081,BUILDING SYSTEM IMPROVEMENT - HEATING PLANT UPGRADE,MID-MAN ADULT LEARNING CENTER,212 W 120TH ST,160820,06/04/2018,MANHATTAN,10027,40.806063,-73.95134,10,9,220,1058447,1019250019,Central Harlem South                                                       
1111,X193,Asbestos  abatement,P.S. 211 - BRONX,1919 PROSPECT AVENUE,14794,05/17/2018,BRONX    ,10457,40.843546,-73.889755,6,17,36901,2094582,2029510032,East Tremont                                                               
13UY,K455,AIR CONDITIONING SPLIT SYSTEM,BOYS & GIRLS HS - BROOKLYN,1700 FULTON STREET,4095958,06/20/2018,BROOKLYN ,11213,40.67944,-73.932407,3,36,271,3047996,3017010001,Crown Heights North                                                        
12B1,X722,INDOOR BUILDING IMPROVEMENT - RECONSTRUCTION OF TOILETS,UNK,2697 WESTCHESTER AVENUE,50000,05/30/2018,BRONX    ,10461,40.842289,-73.838949,11,13,284,2045725,2041330200,Van Nest-Morris Park-Westchester Square                                    
12ZM,Q268,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 268 - QUEENS,92-07 175 STREET,35000,06/01/2018,QUEENS   ,11433,40.707537,-73.785626,12,27,444,4217573,4102150001,Jamaica                                                                    
11DZ,K150,Asbestos  abatement,P.S. 150 - BROOKLYN,364 SACKMAN STREET,19070,05/17/2018,BROOKLYN ,11212,40.66896,-73.904726,16,41,908,3084012,3037440009,Brownsville                                                                
13R8,Q792,PBX ELECTRONICS INSTALLATION,NORTH QUEENS COMMUNITY HS - Q,141-25 77TH ROAD,165843,06/02/2018,QUEENS   ,11367,40.720359,-73.819792,8,24,77903,4438284,4066290035,Kew Gardens Hills                                                          
149F,M011,Building Envelope Improvement - Reconstruction of Exterior Masonry,P.S. 11 - MANHATTAN,320 WEST 21 STREET,19556194,06/29/2018,MANHATTAN,10011,40.744349,-74.000253,4,3,89,1013260,1007440024,Hudson Yards-Chelsea-Flatiron-Union Square                                 
10P5,K138,Asbestos  abatement,P.S. 138 - BROOKLYN,760 PROSPECT PLACE,122297,05/17/2018,BROOKLYN ,11216,40.67438,-73.951443,8,36,31701,3330794,3012330026,Crown Heights North                                                        
10PA,K028,Asbestos  abatement,P.S. 28 - BROOKLYN,1001 HERKIMER STREET,17480,05/17/2018,BROOKLYN ,11233,40.678049,-73.92032,3,41,301,3042090,3015480019,Ocean Hill                                                                 
11CQ,Q127,Asbestos  abatement,P.S. 127 - QUEENS,98-01 25 AVENUE,19682,05/17/2018,QUEENS   ,11369,40.764646,-73.871641,3,21,357,4024487,4011090016,East Elmhurst                                                              
134B,Q037,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 37 - QUEENS,179-37 137 AVENUE,35000,06/01/2018,QUEENS   ,11434,40.67588,-73.758505,12,27,352,4279864,4129930118,St. Albans                                                                 
11YE,X039,Asbestos  abatement,LONGWOOD PREPARATORY ACADEMY,965 LONGWOOD AVENUE,21437,05/17/2018,BRONX    ,10459,40.817512,-73.898212,2,17,87,2005616,2027100001,Longwood                                                                   
112A,X131,Asbestos  abatement,I.S. 131 - BRONX,885 BOLTON AVENUE,50906,05/17/2018,BRONX    ,10473,40.823526,-73.859662,9,18,42,2103869,2036440001,Soundview-Castle Hill-Clason Point-Harding Park                            
12TN,Q076,INDOOR BUILDING IMPROVEMENT - RECONSTRUCTION OF TOILETS,P.S. 76 - QUEENS,36-36 10 STREET,170000,06/04/2018,QUEENS   ,11106,40.760852,-73.941143,1,26,39,4004331,4003540001,Queensbridge-Ravenswood-Long Island City                                   
13VO,K050,Indoor Building Improvement - Conversion of Administrative Space into Classrooms,J.H.S. 50 - BROOKLYN,183 SOUTH 3RD STREET,347841,06/20/2018,BROOKLYN ,11211,40.711704,-73.960275,1,34,523,3063128,3024190001,North Side-South Side                                                      
13QJ,M480,PBX ELECTRONICS INSTALLATION,P.S. 225 - MANHATTAN,317 EAST 67 STREET,515030,06/02/2018,MANHATTAN,10065,40.765359,-73.960059,8,5,118,1083343,1014420001,Lenox Hill-Roosevelt Island                                                
11NT,K515,Asbestos  abatement,BROOKLYN BRIDGE ACADEMY - K,6565 FLATLANDS AVENUE,28944,05/17/2018,BROOKLYN ,11236,40.633285,-73.916735,18,46,950,3224139,3079980005,Canarsie                                                                   
1191,R029,Asbestos  abatement,P.S. 29 - STATEN ISLAND,1581 VICTORY BLVD,13359,05/17/2018,STATEN IS,10314,40.613604,-74.115988,1,50,147,5009028,5003310001,Westerleigh                                                                
13YX,Q126,SECURITY CAMERA SYSTEM UPGRADE,I.S. 126 - QUEENS,31-51 21 STREET,337910,06/20/2018,QUEENS   ,11106,40.766264,-73.930709,1,22,77,4006382,4005530001,Astoria                                                                    
12PB,M124,WASTE SYSTEM,P.S. 124 - MANHATTAN,40 DIVISION STREET,76778,06/04/2018,MANHATTAN,10002,40.714201,-73.995087,3,1,16,1075787,1002890001,Chinatown                                                                  
13PY,Q404,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,HUNTERS POINT COMMUNITY MIDDLE,1-50 51ST AVENUE,35000,06/01/2018,QUEENS   ,11101,40.742956,-73.959196,2,26,1,4538588,4000060008,Hunters Point-Sunnyside-West Maspeth                                       
118B,K430,Asbestos  abatement,BROOKLYN TECH HS - K,29 FT GREENE PLACE,218245,05/17/2018,BROOKLYN ,11217,40.688834,-73.976905,2,35,33,3058752,3020980013,Fort Greene                                                                
10WX,K067,Asbestos  abatement,P.S. 67 - BROOKLYN,51 ST EDWARDS STREET,39902,05/17/2018,BROOKLYN ,11205,40.695633,-73.978215,2,35,2901,3332507,3020390002,Fort Greene                                                                
129C,K199,AUDITORIUM UPGRADE - REPLACE AND UPGRADE AUDITORIUM SOUND SYSTEM AND LIGHTING.,P.S. 199 - BROOKLYN,1100 ELM AVENUE,177952,05/30/2018,BROOKLYN ,11230,40.616632,-73.963476,14,48,768,3180761,3067400025,Midwood                                                                    
11QB,K176,Asbestos  abatement,P.S. 176 - BROOKLYN,1225 69 STREET,16695,05/17/2018,BROOKLYN ,11219,40.624611,-74.005378,10,43,196,3143190,3057740001,Dyker Heights                                                              
12U1,R435,INDOOR BUILDING IMPROVEMENT - RECONSTRUCTION OF TOILETS,NEW DORP HS - STATEN ISLAND,465 NEW DORP LANE,170000,06/04/2018,STATEN IS,10306,40.569393,-74.107737,2,50,11202,5055367,5039300010,New Dorp-Midland Beach                                                     
13DY,Q188,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 188 - QUEENS,218-12 HARTLAND AVENUE,82000,06/01/2018,QUEENS   ,11364,40.736177,-73.753159,11,23,129104,4164350,4077740165,Oakland Gardens                                                            
13A4,M480,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,VANGUARD HS - MANHATTAN,317 EAST 67 STREET,35000,06/01/2018,MANHATTAN,10065,40.765359,-73.960059,8,5,118,1083343,1014420001,Lenox Hill-Roosevelt Island                                                
12P6,K114,BUILDING SYSTEM IMPROVEMENT - HEATING PLANT UPGRADE,P.S. 114 - BROOKLYN,1077 REMSEN AVENUE,201435,06/04/2018,BROOKLYN ,11236,40.642792,-73.908806,18,46,964,3229159,3081600022,Canarsie                                                                   
116G,Q415,Asbestos  abatement,BENJAMIN N. CARDOZO HS - QUEEN,57-00 223 STREET,19273,05/17/2018,QUEENS   ,11364,40.752333,-73.75599,11,23,138501,4161735,4075290001,Oakland Gardens                                                            
13N7,Q130,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 130 - QUEENS,200-01 42 AVENUE,50000,06/01/2018,QUEENS   ,11361,40.759517,-73.784029,11,19,1463,4137034,4062030001,Bayside-Bayside Hills                                                      
11NU,K211,Asbestos  abatement,I.S. 211 - BROOKLYN,1001 EAST 100 STREET,116204,05/17/2018,BROOKLYN ,11236,40.643278,-73.896212,18,46,988,3326732,3082270001,Canarsie                                                                   
1491,K031,Asbestos  abatement,P.S. 31 - BROOKLYN,75 MESEROLE AVENUE,32850,06/27/2018,BROOKLYN ,11222,40.726587,-73.95427,1,33,561,3065299,3025950001,Greenpoint                                                                 
11JY,K377,Asbestos  abatement,P.S. 377 - BROOKLYN,200 WOODBINE STREET,122601,05/17/2018,BROOKLYN ,11221,40.694018,-73.915263,4,37,415,3076784,3033600001,Bushwick South                                                             
1455,Q053,Asbestos  abatement,I.S. 53 - QUEENS,10-45 NAMEOKE STREET,273924,06/20/2018,QUEENS   ,11691,40.603622,-73.749097,14,31,103202,4298234,4155570025,Far Rockaway-Bayswater                                                     
12X4,Q410,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,ROCKAWAY PARK HS FOR ENVIRONME,100-00 BEACH CHANNEL DRIVE,99230,06/01/2018,QUEENS   ,11694,40.586066,-73.822624,14,32,94201,4303773,4161670099,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
12IO,X123,BUILDING SYSTEM IMPROVEMENT - HEATING PLANT UPGRADE,I.S. 123 - BRONX,1025 MORRISON AVENUE,75200,06/04/2018,BRONX    ,10472,40.825403,-73.873666,9,18,48,2087014,2037180001,Soundview-Bruckner                                                         
11OF,Q435,Asbestos  abatement,MARTIN VAN BUREN HS - QUEENS,230-17 HILLSIDE AVENUE,44363,05/17/2018,QUEENS   ,11427,40.733066,-73.738756,13,23,1301,4166101,4079300002,Bellerose                                                                  
11N6,K139,Asbestos  abatement,P.S. 139 - BROOKLYN,330 RUGBY ROAD,185595,05/17/2018,BROOKLYN ,11226,40.641937,-73.965523,14,40,1522,3328235,3051440064,Flatbush                                                                   
12XE,K505,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,FRANKLIN D. ROOSEVELT HS - K,5800 20 AVENUE,100000,06/01/2018,BROOKLYN ,11204,40.620446,-73.981795,12,44,468,3131537,3055060006,Borough Park                                                               
13G1,Q268,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 268 - QUEENS,92-07 175 STREET,100000,06/01/2018,QUEENS   ,11433,40.707537,-73.785626,12,27,444,4217573,4102150001,Jamaica                                                                    
13I6,K142,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 146 - BROOKLYN,610 HENRY STREET,50000,06/01/2018,BROOKLYN ,11231,40.68007,-74.001377,6,39,63,3336036,3003690001,Carroll Gardens-Columbia Street-Red Hook                                   
12XN,M520,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,MANHATTAN EARLY COLLEGE SCHOOL,411 PEARL STREET,99247,06/01/2018,MANHATTAN,10038,40.711442,-74.000851,1,1,29,1001388,1001130100,Chinatown                                                                  
114F,M083,Asbestos  abatement,P.S. 83 - MANHATTAN,219 EAST 109 STREET,17436,05/17/2018,MANHATTAN,10029,40.793194,-73.942548,11,8,180,1052436,1016590012,East Harlem North                                                          
14H0,K236,Asbestos  abatement,P.S. 236 - BROOKLYN,6302 AVENUE U,110882,12/21/2018,BROOKLYN,11234,40.615998,-73.912989,18,46,698,3326821,3084640001,Georgetown-Marine Park-Bergen Beach-Mill Basin
144U,K071,Asbestos  abatement,I.S. 71 - BROOKLYN,215 HEYWARD STREET,21380,06/20/2018,BROOKLYN ,11206,40.703624,-73.953146,1,33,529,3061064,3022270001,Williamsburg                                                               
13EP,K142,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 146 - BROOKLYN,610 HENRY STREET,35000,06/01/2018,BROOKLYN ,11231,40.68007,-74.001377,6,39,63,3336036,3003690001,Carroll Gardens-Columbia Street-Red Hook                                   
11ZA,X098,Asbestos  abatement,I.S. 98 - BRONX,1619 BOSTON RD,68603,05/17/2018,BRONX    ,10460,40.8359,-73.890458,3,17,155,2009867,2029390093,Crotona Park East                                                          
1128,K268,Asbestos  abatement,P.S. 268 - BROOKLYN,133 EAST 53 STREET,31511,05/17/2018,BROOKLYN ,11203,40.657131,-73.928018,17,41,866,3100292,3046230028,Rugby-Remsen Village                                                       
13HD,Q735,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,BARD HS EARLY COLLEGE II - QUE,30-20 THOMSON AVENUE,35000,06/01/2018,QUEENS   ,11101,40.745095,-73.936635,2,26,179,4003517,4002740001,Hunters Point-Sunnyside-West Maspeth                                       
13BB,R072,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,I.S. 72 - STATEN ISLAND,33 FERNDALE AVENUE,50000,06/01/2018,STATEN IS,10314,40.593005,-74.158988,2,51,27706,5037524,5023640001,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
113F,R024,Asbestos  abatement,I.S. 24 - STATEN ISLAND,225 CLEVELAND AVENUE,12582,05/17/2018,STATEN IS,10308,40.545281,-74.14632,3,51,13203,5065854,5051530108,Great Kills                                                                
10U0,K470,Asbestos  abatement,INTERNATIONAL ARTS BUSINESS HS,600 KINGSTON AVENUE,162744,05/17/2018,BROOKLYN ,11203,40.658893,-73.942458,9,40,810,3107227,3048110001,Prospect Lefferts Gardens-Wingate                                          
114I,K215,Asbestos  abatement,P.S. 215 - BROOKLYN,415 AVENUE S,153565,05/17/2018,BROOKLYN ,11223,40.602084,-73.970013,15,47,41401,3178584,3066810169,Homecrest                                                                  
1173,K525,Asbestos  abatement,EDWARD R. MURROW HS - K,1600 AVENUE L,256978,05/17/2018,BROOKLYN ,11230,40.620525,-73.959285,14,44,768,3180673,3067340109,Midwood                                                                    
1321,X193,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 211 - BRONX,1919 PROSPECT AVENUE,53000,06/01/2018,BRONX    ,10457,40.843546,-73.889755,6,17,36901,2094582,2029510032,East Tremont                                                               
11WQ,M149,Asbestos  abatement,P.S. 149 - MANHATTAN,34 WEST 118 STREET,80107,05/17/2018,MANHATTAN,10026,40.80247,-73.946716,10,9,190,1051434,1016010001,Central Harlem South                                                       
13ZT,K114,Auditorium Upgrade - replace and upgrade auditorium sound system and lighting.,P.S. 114 - BROOKLYN,1077 REMSEN AVENUE,125000,06/20/2018,BROOKLYN ,11236,40.642792,-73.908806,18,46,964,3229159,3081600022,Canarsie                                                                   
13DI,K405,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,MIDWOOD HS - BROOKLYN,2839 BEDFORD AVENUE,50000,06/01/2018,BROOKLYN ,11210,40.633237,-73.952929,14,45,772,3205788,3075530041,Flatbush                                                                   
128P,Q102,GYMNASIUM UPGRADE,P.S. 102 - QUEENS,55-24 VAN HORN STREET,35000,05/30/2018,QUEENS   ,11373,40.733514,-73.877857,4,25,479,4437597,4028790031,Elmhurst-Maspeth                                                           
11XQ,M052,Asbestos  abatement,J.H.S. 52 - MANHATTAN,650 ACADEMY STREET,44312,05/17/2018,MANHATTAN,10034,40.866053,-73.924835,12,10,291,1076776,1022330020,Marble Hill-Inwood                                                         
12YD,Q137,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,M.S. 137 - QUEENS,109-15 98TH STREET,35000,06/01/2018,QUEENS   ,11417,40.6781,-73.839948,10,32,86,4467457,4091720001,Ozone Park                                                                 
110K,M163,Asbestos  abatement,P.S. 163 - MANHATTAN,163 WEST 97 STREET,48309,05/17/2018,MANHATTAN,10025,40.794264,-73.968706,7,7,185,1055908,1018520099,Upper West Side                                                            
12L0,K655,AUDITORIUM UPGRADE - REPLACE AND UPGRADE AUDITORIUM SOUND SYSTEM AND LIGHTING.,BROOKLYN HS OF THE ARTS - BROO,345 DEAN STREET,828370,06/04/2018,BROOKLYN ,11217,40.683559,-73.98027,2,33,39,3001190,3001920013,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
12L8,K655,BUILDING SYSTEM IMPROVEMENT - HEATING PLANT UPGRADE,BROOKLYN HS OF THE ARTS - BROO,345 DEAN STREET,74147,06/04/2018,BROOKLYN ,11217,40.683559,-73.98027,2,33,39,3001190,3001920013,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
11YO,K207,Asbestos  abatement,P.S. 207 - BROOKLYN,4011 FILLMORE AVENUE,18531,05/17/2018,BROOKLYN ,11234,40.613353,-73.930129,18,46,652,3239388,3084840001,Georgetown-Marine Park-Bergen Beach-Mill Basin                             
13DO,Q005,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,I.S. 5 - QUEENS,50-40 JACOBUS STREET,100000,06/01/2018,QUEENS   ,11373,40.737718,-73.887429,4,25,489,4454423,4024500017,Elmhurst-Maspeth                                                           
12EJ,K150,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,BROWNSVILLE COLLEGIATE CHARTER,364 SACKMAN STREET,79500,05/31/2018,BROOKLYN ,11212,40.66896,-73.904726,16,41,908,3084012,3037440009,Brownsville                                                                
